subset;df;p;q;d
['NAIVE', 'SVC'];0.03;-0.38;-0.8;0.65
['NAIVE', 'SGD'];0.07;-0.21;-0.47;0.58
['LR', 'NAIVE'];0.09;-0.22;-0.46;0.59
['LR', 'NAIVE', 'SVC'];0.08;0.14;0.06;0.25
['NAIVE', 'SGD', 'SVC'];0.08;0.14;0.06;0.24
['CART', 'NAIVE', 'SVC'];0.01;;0.07;0.29
['NAIVE', 'KNN', 'SVC'];0.01;;0.07;0.29
['LR', 'NAIVE', 'SGD'];0.1;0.2;0.17;0.22
['CART', 'NAIVE', 'SGD'];0.02;;0.18;0.27
['NAIVE', 'KNN', 'SGD'];0.02;;0.18;0.27
['LR', 'CART', 'NAIVE'];0.03;;0.18;0.36
['LR', 'NAIVE', 'SGD', 'SVC'];0.07;0.2;0.19;0.13
['CART', 'NAIVE', 'KNN', 'SVC'];0.01;;0.2;0.18
['LR', 'CART', 'NAIVE', 'SVC'];0.04;;0.2;0.16
['LR', 'NAIVE', 'KNN', 'SVC'];0.04;;0.2;0.16
