    Accuracy  Precision  Recall   F1  AUC
11       1.0        1.0     1.0  1.0  NaN
4        1.0        1.0     1.0  1.0  NaN
6        1.0        1.0     1.0  1.0  NaN
15       1.0        1.0     1.0  1.0  NaN
9        1.0        1.0     1.0  1.0  NaN
8        1.0        1.0     1.0  1.0  NaN
2        1.0        1.0     1.0  1.0  NaN
10       1.0        1.0     1.0  1.0  NaN
14       1.0        1.0     1.0  1.0  NaN
1        1.0        1.0     1.0  1.0  NaN
13       1.0        1.0     1.0  1.0  NaN
7        1.0        1.0     1.0  1.0  NaN
12       1.0        1.0     1.0  1.0  NaN
3        1.0        1.0     1.0  1.0  NaN
5        1.0        1.0     1.0  1.0  NaN
