    Accuracy  Precision  Recall   F1  AUC
12      1.00        1.0    1.00  1.0  NaN
15      1.00        1.0    1.00  1.0  NaN
13      1.00        1.0    1.00  1.0  NaN
4       1.00        1.0    1.00  1.0  NaN
7       1.00        1.0    1.00  1.0  NaN
8       1.00        1.0    1.00  1.0  NaN
1       1.00        1.0    1.00  1.0  NaN
14      1.00        1.0    1.00  1.0  NaN
6       0.00        0.0    0.00  0.0  NaN
10      0.00        0.0    0.00  0.0  NaN
3       1.00        1.0    1.00  1.0  NaN
11      1.00        1.0    1.00  1.0  NaN
9       0.33        1.0    0.33  0.5  NaN
2       1.00        1.0    1.00  1.0  NaN
5       1.00        1.0    1.00  1.0  NaN
